Ingredient,Volume,Mass grams  (g)
00  pizza  flour,1 cup,116
all-purpose  flour,1 cup,120
almond  flour,1 cup,96
amaranth  flour,1 cup,103
barley  flour,1 cup,85
bread  flour,1 cup,120
brown  rice  flour,1 cup,128
buckwheat  flour,1 cup,120
chickpea  flour,1 cup,85
coconut  flour,1 cup,128
"corn flour,  masa  harina",1 cup,93
durum  flour,1 cup,124
gluten-free  00  pizza  flour,1 cup,100
gluten-free  all-purpose  flour,1 cup,156
gluten-free  bread  flour,1 cup,120
gluten-free  measure  for  measure  flour,1 cup,120
glutinous  rice  flour,1 cup,120
hazelnut  flour,1 cup,89
high-gluten  flour,1 cup,120
oat flour,1 cup,92
pastry  flour,1 cup,106
potato  flour,1/4 cup,46
pumpernickel  flour,1 cup,106
quinoa  flour,1 cup,110
rye flour,1 cup,110
self-rising  flour,1 cup,113
semolina  flour,1 cup,163
sorghum  flour,1 cup,138
soy flour,1/4 cup,35
spelt  flour,1 cup,99
tapioca  starch  or  flour,1 cup,113
unbleached  cake  flour,1 cup,120
white  rye  flour,1 cup,106
white  whole  wheat  flour,1 cup,113
whole  grain  flour,1 cup,113
whole  wheat  flour,1 cup,113
whole  wheat  pastry  flour,1 cup,96
"almonds,  slivered",1/2 cup,57
"almonds,  whole,  unblanched",1 cup,142
"apple  juice,  concentrate",1/4 cup,70
"apples,  dried,  diced",1 cup,85
"apples,  peeled,  sliced",1 cup,113
applesauce,1 cup,255
"apricot,  dried,  diced",1/2 cup,64
baking  powder,1 teaspoon,4
baking  soda,1/2 teaspoon,3
"bananas,  raw,  mashed",1 cup,227
"barley,  cooked",1 cup,215
barley  flakes,1/2 cup,46
barley  malt  syrup,"2
tablespoons",42
basil  pesto,"2
tablespoons",28
"bell  peppers,  fresh,  diced",1 cup,142
"blueberries,  dried",1 cup,156
"blueberries,  fresh",1 cup,180
"blueberries,  frozen",1 cup,150
blueberry  juice,1 cup,241
bran  cereal,1 cup,60
"breadcrumbs,  dry",1/4 cup,28
"breadcrumbs,  fresh",1/4 cup,21
"bread  crumbs,  japanese  panko",1 cup,50
"brown  rice,  cooked",1 cup,170
"buckwheat,  whole,  cooked",1 cup,170
bulgur,1 cup,152
butter,1/2 cup,113
buttermilk,1 cup,227
buttermilk  powder,"2
tablespoons",18
cacao  nibs,1 cup,120
caraway  seeds,"2
tablespoons",18
"carrots,  cooked  and  puréed",1/2 cup,128
"carrots,  diced",1 cup,142
"carrots,  grated",1 cup,99
"cashews,  chopped",1 cup,113
"cashews,  whole",1 cup,113
"celery,  diced",1 cup,142
"cheese,  feta",1/2 cup,57
"cheese, grated, semi-soft",1 cup,113
"cheese,  grated,  hard",1/2 cup,50
"cheese,  creamy",1 cup,227
"cherries,  candied",1/4 cup,50
"cherries,  dried",1/2 cup,71
"cherries, fresh, chopped, pits removed",1/2 cup,80
"cherries,  frozen,  pits  removed",1 cup,113
"chia  seeds,  dry",1/4 cup,37
"chives,  fresh",1/2 cup,21
"chocolate,  chopped",1 cup,170
chocolate  chips,1 cup,170
chocolate  chunks,1 cup,170
"cocoa,  unsweetened",1/2 cup,42
"coconut,  sweetened,  shredded",1 cup,85
"coconut,  toasted",1 cup,85
"coconut,  unsweetened,  desiccated",1 cup,85
"coconut,  unsweetened,  large  flakes",1 cup,60
"coconut,  unsweetened,  shredded",1 cup,53
"coconut  cream,  unsweetened",1 cup,284
"coconut  milk,  canned,  shaken",1 cup,241
"coconut  milk,  evaporated",1 cup,242
coconut  milk  powder,1/2 cup,57
coconut  oil,1/2 cup,113
"cornmeal,  whole",1 cup,138
"cornmeal,  yellow",1 cup,156
cornstarch,1/4 cup,28
cracked  wheat,1 cup,149
"cranberries,  dried",1/2 cup,57
"cranberries,  fresh  or  frozen",1 cup,99
"cream, heavy cream, light cream, or half and half",1 cup,227
cream  cheese,1 cup,227
cream of coconut,1/2 cup,142
crème  fraiche,1/2 cup,124
crystallized  ginger,1/2 cup,92
currants,1 cup,142
"dates,  chopped",1 cup,149
"dried  nonfat  milk,  powdered",1/4 cup,28
dried  potato  flakes,1/2 cup,43
"dried  whole  milk,  powdered",1/2 cup,50
"egg, fresh",1 large,50
"egg  white,  fresh",1 large,35
"egg  whites,  dried","2
tablespoons",11
"egg  yolk,  fresh",1 large,14
espresso  powder,"1
tablespoon",7
"figs,  dried,  chopped",1 cup,149
flax  meal,1/2 cup,50
flaxseed,1/4 cup,35
"garlic,  minced","2
tablespoons",28
"garlic,  peeled  and  sliced",1 cup,149
ghee,1/4 cup,44
"ginger,  fresh,  sliced",1/4 cup,57
gluten-free  all-purpose  baking  mix,1 cup,120
gluten-free  sourdough  starter,1 cup,235
"graham cracker crumbs, crushed from whole crackers",1 cup,100
granola,1 cup,113
guava  paste,1/4 cup,100
hazelnut  praline  paste,1/2 cup,156
hazelnut  spread,1/2 cup,160
"hazelnuts,  whole",1 cup,142
lard,1/2 cup,113
"leeks,  diced",1 cup,92
lemon  curd,1/2 cup,113
lemon  juice,"1
tablespoon",14
"lemon  juice,  powdered","2
tablespoons",18
lime  juice,1 cup,227
"lime  juice,  powdered","2
tablespoons",18
"macadamia  nuts,  whole",1 cup,149
malt syrup,"2
tablespoons",43
malted  milk  powder,1/4 cup,35
malted  wheat  flakes,1/2 cup,64
"marshmallows,  mini",1 cup,43
marzipan,1 cup,290
mascarpone  cheese,1 cup,227
mashed  potatoes,1 cup,213
mashed  sweet  potatoes,1 cup,240
mayonnaise,1/2 cup,113
"milk,  evaporated",1/2 cup,113
"milk,  fresh",1 cup,227
"millet,  whole",1/2 cup,103
mini  chocolate  chips,1 cup,177
"mushrooms,  sliced",1 cup,78
non-diastatic  malt  powder,"2
tablespoons",18
oat bran,1/2 cup,53
"oats,  rolled",1 cup,89
"oats,  prepared",1 cup,147
olive  oil,1/4 cup,50
"olives,  sliced",1 cup,142
"onions,  fresh,  diced",1 cup,142
passion  fruit  purée,1/3 cup,60
"peaches,  peeled  and  diced",1 cup,170
peanut  butter,1/2 cup,135
"peanuts,  whole,  shelled",1 cup,142
"pears,  peeled  and  diced",1 cup,163
pecan  meal,1 cup,80
"pecans,  diced",1/2 cup,57
pine  nuts,1/2 cup,71
"pineapple,  crushed,  drained",1 cup,256
"pineapple,  dried",1/2 cup,71
"pineapple,  fresh  or  canned,  diced",1 cup,170
"pistachio  nuts,  shelled",1/2 cup,60
pistachio  paste,1/4 cup,78
pizza  sauce,1/4 cup,57
"polenta,  coarse  ground  cornmeal",1 cup,163
poppy  seeds,"2
tablespoons",18
potato  starch,1 cup,152
pumpkin  purée,1 cup,227
queso  fresco,1/2 cup,57
"quinoa,  cooked",1 cup,184
"quinoa,  whole",1 cup,177
"raisins,  loose",1 cup,149
"raisins,  packed",1/2 cup,85
"raspberries,  whole,  fresh",1 cup,120
"raspberries,  whole,  frozen",1 cup,142
"rhubarb,  sliced,  1/2  slices",1 cup,130
"rice,  long  grain,  dry",1/2 cup,99
"rice  flour,  white",1 cup,142
rye flakes,1 cup,124
"salt,  table","1
tablespoon",18
"scallions,  sliced",1 cup,64
sesame  seeds,1/2 cup,71
"shallots,  raw,  sliced",1 cup,156
sour  cream,1 cup,227
sourdough  starter,1 cup,235
steel cut oats,1/2 cup,70
"strawberries,  fresh,  sliced",1 cup,167
sunflower  seeds,1/4 cup,35
sweetened  condensed  coconut  milk,1 cup,288
sweetened  condensed  milk,1/4 cup,78
tahini paste,1/2 cup,128
"tapioca,  quick  cooking","2
tablespoons",21
tomato paste,"2
tablespoons",29
vanilla  extract,"1
tablespoon",14
vegetable  oil,1 cup,198
vegetable  shortening,1/4 cup,46
vital  wheat  gluten,"2
tablespoons",18
"walnuts,  chopped",1 cup,113
"walnuts,  whole",1/2 cup,64
water,1 cup,227
"wheat  berries,  red",1 cup,184
wheat  bran,1/2 cup,32
wheat  germ,1/4 cup,28
white  chocolate  chips,1 cup,170
"yeast, instant",1 teaspoon,3
"yogurt,  plain",1 cup,227
agave  syrup,1/4 cup,84
honey,1 tablespoon,21
cheese,1 cup,227
cherries,1/4 cup,50
cherry concentrate,"2
tablespoons",42
chia seeds,1/4 cup,37
chickpea flour,1 cup,85
chives,1/2 cup,21
chocolate,1 cup,170
chocolate chips,1 cup,170
chocolate chunks,1 cup,170
cinnamon sweet bits,1/4 cup,35
cinnamon-sugar,1/4 cup,50
climate blend flour,1 cup,115
cocoa,1/2 cup,42
coconut,1 cup,85
coconut cream,1 cup,284
coconut flour,1 cup,128
"coconut milk; canned, well shaken",1 cup,241
coconut milk,1 cup,242
coconut milk powder,1/2 cup,57
coconut oil,1/2 cup,113
coconut sugar,1/2 cup,77
confectioners sugar,2 cups,227
cookie butter,1/4 cup,72
cookie crumbs,1 cup,85
corn,1/4 cup,38
corn syrup,1 cup,312
cornmeal,1 cup,138
cracked wheat,1 cup,149
cranberries,1/2 cup,57
cream,1 cup,227
cream cheese,1 cup,227
crème fraiche,1/2 cup,124
crystallized ginger,1/2 cup,92
dates,1 cup,149
demerara sugar,1 cup,220
dried blueberry powder,1/4 cup,28
dried milk,1/4 cup,28
dried nonfat milk,1/4 cup,28
dried potato flakes,1/2 cup,43
dried whole milk,1/2 cup,50
durum flour,1 cup,124
easy roll dough improver,"2
tablespoons",18
egg yolk,1/4cup,17
egg,1/4 cup,50
egg white,2 tablespoon,30-35
egg whites,"2
tablespoons",11
espresso powder,1 tablespoon,7
everything bagel topping,1/4 cup,35
figs,1 cup,149
first clear flour,1 cup,106
flax meal,1/2 cup,50
formaggio italiano cheese and herb blend,1/4cup,30
french-style flour,1cup,120
fruitcake fruit blend,1 cup,113
garlic,2 tablespoon,28
